Symbol,Rank,Score,3M Return,6M Return
SANDUMA,503,-0.4312620118865761,-0.08833655627864956,-0.03421692147112998
ESCORTS,504,-0.43271052912586516,0.04566121097396847,-0.1241938512814923
GPIL,505,-0.43659011872296377,-0.0940172655115944,-0.048860943370750975
BHARTIHEXA,506,-0.4368840987299299,0.01714091134483131,-0.04586672382624846
TATAINVEST,507,-0.4384581794339918,-0.01357465728232643,0.015068459482080687
ULTRACEMCO,508,-0.43934303184948104,0.01767549543578051,-0.09857909272319176
FORTIS,509,-0.4508747079471318,-0.04581111477808608,0.003413167114701521
IIFLCAPS,510,-0.45409982740480564,-0.03279865911374591,0.03734702785834498
NHPC,511,-0.4556607747121538,-0.011973547836304888,0.005757647091127582
TRIDENT,512,-0.4558694952827721,0.03165079590500164,-0.045291219167726826
RENUKA,513,-0.4619578522984198,0.00345572030342578,-0.03928869937756385
SKFINDIA,514,-0.46223369441157414,0.005120688611729429,-0.02731573376328833
SAGILITY,515,-0.46521455693765934,0.02166773078511608,-0.07491011373671264
NAVA,516,-0.4655869105867569,-0.06200202054581028,-0.003968852041745574
