Symbol,MarketCap,AsOf,Source
KSB,140397438774.0,2026-09-09,pr_live_zip
KSCL,37141581215.55,2026-09-09,pr_live_zip
KTKBANK,125279854718.75,2026-09-09,pr_live_zip
LALPATHLAB,321814227069.0,2026-09-09,pr_live_zip
LATENTVIEW,53831533547.0,2026-09-09,pr_live_zip
LAURUSLABS,1045702199334.0,2026-09-09,pr_live_zip
LEMONTREE,84112807082.9,2026-09-09,pr_live_zip
LENSKART,1206498229197.3,2026-09-09,pr_live_zip
LGEINDIA,1118481147537.6,2026-09-09,pr_live_zip
LICHSGFIN,305284965000.0,2026-09-09,pr_live_zip
LICI,5154873126315.0,2026-09-09,pr_live_zip
LINDEINDIA,541768026607.5,2026-09-09,pr_live_zip
LLOYDSENGG,118774168338.55,2026-09-09,pr_live_zip
LLOYDSENT,105859444559.7,2026-09-09,pr_live_zip
LLOYDSME,1017290325068.8,2026-09-09,pr_live_zip
LODHA,1164904029960.0,2026-09-09,pr_live_zip
LOTUSDEV,96762407342.9,2026-09-09,pr_live_zip
LT,5396435273622.8,2026-09-09,pr_live_zip
LTF,777709124169.6,2026-09-09,pr_live_zip
LTFOODS,157496572751.2,2026-09-09,pr_live_zip
LTM,1308693268252.0,2026-09-09,pr_live_zip
LTTS,356814746852.0,2026-09-09,pr_live_zip
LUMAXTECH,135674727573.0,2026-09-09,pr_live_zip
LUPIN,960188325600.0,2026-09-09,pr_live_zip
LXCHEM,49498897403.5,2026-09-09,pr_live_zip
M&M,3917115817650.0,2026-09-09,pr_live_zip
M&MFIN,505602009450.0,2026-09-09,pr_live_zip
MAHABANK,650397886572.0,2026-09-09,pr_live_zip
MAHSCOOTER,151657097360.0,2026-09-09,pr_live_zip
MAHSEAMLES,90610294202.4,2026-09-09,pr_live_zip
MANAPPURAM,300587552640.0,2026-09-09,pr_live_zip
MANKIND,935435890170.0,2026-09-09,pr_live_zip
MANORAMA,132134098987.0,2026-09-09,pr_live_zip
MANYAVAR,141254821380.75,2026-09-09,pr_live_zip
MAPMYINDIA,52307760691.2,2026-09-09,pr_live_zip
MARICO,1056747737246.1,2026-09-09,pr_live_zip
MARKSANS,149653177805.7,2026-09-09,pr_live_zip
MARUTI,3967131678732.0,2026-09-09,pr_live_zip
MASTEK,50329769577.0,2026-09-09,pr_live_zip
MAXHEALTH,1009740431087.5,2026-09-09,pr_live_zip
MAZDOCK,971661744000.0,2026-09-09,pr_live_zip
MCX,854222680750.0,2026-09-09,pr_live_zip
MEDANTA,398031864472.8,2026-09-09,pr_live_zip
MEDPLUS,80485824016.95,2026-09-09,pr_live_zip
MEESHO,996451967771.7,2026-09-09,pr_live_zip
METROPOLIS,124832049112.8,2026-09-09,pr_live_zip
MFSL,506801041213.5,2026-09-09,pr_live_zip
MGL,107104744685.4,2026-09-09,pr_live_zip
MIDHANI,86888292000.0,2026-09-09,pr_live_zip
MINDACORP,167546863142.4,2026-09-09,pr_live_zip
MMTC,94140000000.0,2026-09-09,pr_live_zip
MOIL,51268098911.45,2026-09-09,pr_live_zip
MOTHERSON,1727762253783.7,2026-09-09,pr_live_zip
MOTILALOFS,617200371600.0,2026-09-09,pr_live_zip
MPHASIS,440439763627.5,2026-09-09,pr_live_zip
MRF,544202264045.0,2026-09-09,pr_live_zip
MRPL,323284370405.4,2026-09-09,pr_live_zip
MSTCLTD,53792640000.0,2026-09-09,pr_live_zip
MSUMI,243514624894.55,2026-09-09,pr_live_zip
MTARTECH,230727692091.0,2026-09-09,pr_live_zip
MUTHOOTFIN,1130133759940.0,2026-09-09,pr_live_zip
NAM-INDIA,744051138521.6,2026-09-09,pr_live_zip
NATCOPHARM,147998485581.0,2026-09-09,pr_live_zip
NATIONALUM,693512162771.2,2026-09-09,pr_live_zip
NAUKRI,821548900200.0,2026-09-09,pr_live_zip
NAVA,158806166027.4,2026-09-09,pr_live_zip
NAVINFLUOR,449967439434.5,2026-09-09,pr_live_zip
NAZARA,138702104985.6,2026-09-09,pr_live_zip
NBCC,225720000000.0,2026-09-09,pr_live_zip
NCC,91244944634.05,2026-09-09,pr_live_zip
NEOGEN,61751151204.8,2026-09-09,pr_live_zip
